Date, Open, High, Low, Close
12/31/24, 42636.70, 42779.69, 42421.29, 42544.22
12/30/24, 42863.86, 42863.86, 42263.51, 42573.73
12/27/24, 43142.37, 43238.85, 42761.56, 42992.21
12/26/24, 43201.85, 43373.98, 43115.09, 43325.80
12/24/24, 42916.48, 43297.65, 42871.76, 43297.03
12/23/24, 42800.49, 42957.79, 42516.87, 42906.95
12/20/24, 42296.26, 43216.03, 42146.33, 42840.26
12/19/24, 42464.13, 42787.85, 42334.13, 42342.24
12/18/24, 43459.72, 43688.97, 42300.04, 42326.87
12/17/24, 43656.47, 43656.47, 43336.22, 43449.90
12/16/24, 43825.76, 43951.58, 43686.85, 43717.48
12/13/24, 43929.15, 44054.23, 43790.48, 43828.06
12/12/24, 44168.66, 44208.60, 43903.27, 43914.12
12/11/24, 44300.41, 44376.18, 44135.74, 44148.56
12/10/24, 44291.57, 44470.84, 44186.66, 44247.83
12/09/24, 44637.97, 44728.51, 44382.83, 44401.93
12/06/24, 44824.29, 44923.74, 44596.46, 44642.52
12/05/24, 45038.44, 45059.94, 44747.14, 44765.71
12/04/24, 44941.05, 45073.63, 44799.74, 45014.04
12/03/24, 44769.58, 44914.68, 44574.78, 44705.53
12/02/24, 44925.86, 45001.66, 44710.16, 44782.00
11/29/24, 44760.05, 45071.29, 44760.05, 44910.65
11/27/24, 44837.75, 45003.06, 44690.23, 44722.06
11/26/24, 44614.89, 44903.01, 44426.66, 44860.31
11/25/24, 44385.49, 44815.67, 44385.49, 44736.57
11/22/24, 43871.63, 44323.95, 43871.63, 44296.51
11/21/24, 43538.70, 44020.31, 43345.58, 43870.35
11/20/24, 43296.05, 43465.77, 43074.86, 43408.47
11/19/24, 43243.27, 43380.97, 42938.87, 43268.94
11/18/24, 43431.89, 43505.66, 43297.57, 43389.60
11/15/24, 43587.93, 43647.53, 43350.43, 43444.99
11/14/24, 44032.38, 44080.78, 43704.82, 43750.86
11/13/24, 43880.46, 44141.33, 43829.98, 43958.19
11/12/24, 44359.21, 44405.73, 43887.27, 43910.98
11/11/24, 44057.65, 44486.70, 44057.65, 44293.13
11/08/24, 43768.53, 44157.29, 43733.86, 43988.99
11/07/24, 43718.92, 43823.10, 43641.92, 43729.34
11/06/24, 42850.40, 43778.78, 42850.40, 43729.93
